URL,Video ID,Title,Channel,Views,Likes,Comments,Duration (seconds),Status
"https://youtube.com/shorts/tDADgC9ROyM?si=rFq9L9RMaisfkPMD",tDADgC9ROyM,"Go n check this trick!!!!🤯🤯","Riya Riu",1241,16,0,50,success
"https://youtube.com/shorts/p-tPhiviEGQ?si=wXHBvy62y4b1HrYJ",p-tPhiviEGQ,"@BuyHatke","Kulsum",1035,12,0,28,success
"https://youtube.com/shorts/IeDFf7TJHbM?si=J2t26cAV_pk1Yyiz",IeDFf7TJHbM,"Check out buyhatke now ❤️ #shorts #shortvideo","Sam Gehlawat Vlogs",715,0,0,26,success
"https://youtube.com/shorts/xwGu7LdpPkI?si=WEy7UBFKqTpAqNi8",xwGu7LdpPkI,"Download now @BuyHatke 💸","Ketan Meerani",1080,23,0,50,success
"https://youtube.com/shorts/p8pxHgUE5mA?si=LN8hr3iOtXNN4J_P",p8pxHgUE5mA,"Visit buyhatke 💀 #buyhatke #influencercollab","Sarthak Bassi",69,0,0,54,success
"https://youtube.com/shorts/apADcRErzNk?si=ql3tq_pyKSowwQ9I",apADcRErzNk,"Go and check this crazy website buyhatke. #shorts #shortvideo #viral","Mehak",851,19,0,48,success
"https://youtube.com/shorts/0a_IpYHkaTg?si=dEfI1kaK9qpDLNpG",0a_IpYHkaTg,"Go and check out BuyHatke for more amazing features🤩.#cabs #viral #travel #trending","Aakshi",212,4,0,30,success
"https://youtube.com/shorts/OiYSpWI6GTg?si=3rYvrRRRR2-kEh7Q",OiYSpWI6GTg,"Compare ur taxi ride using buyhatke.com ✨🤯 #shopping #online #viral","Nisha Singh Rathore",792,7,1,33,success
"https://youtube.com/shorts/nU2fhaTsYKw?si=n2-OnnG1v3EfnNvp",nU2fhaTsYKw,"Good and check this feature on buyhatke now #shortvideo #viral","Mehak",215,1,0,66,success
"https://youtube.com/shorts/sPdMhpV9of4?si=ptcWU8l74P1Dby8Z",sPdMhpV9of4,"Hack I didn't know would work #onlineshopping #shoppinghacks #money #amazon","Anushka Sharma",421,9,0,44,success
"https://youtube.com/shorts/854HG-J1JBY?si=MPiqrPo0U04R-dTN",854HG-J1JBY,"Thank me later #hack #savemoney #iit #shopping #trick","Vrinda Chhabra",1045,23,0,46,success
"https://youtube.com/shorts/hWskm7S_bl8?si=mLQgWKlKRsRHLSNA",hWskm7S_bl8,"Mumma approved this hack 😭 thanks @BuyHatke","Bass Yuhii",1074,19,3,32,success
"https://youtube.com/shorts/ExjtwpyBRlk?si=tISoDQvibU_YHU8s",ExjtwpyBRlk,"Buy hatke 👏🏼 #viral #ytshorts #buyhatke","Ravleen Kaur",709,6,0,28,success
"https://youtube.com/shorts/0wFWYIIzudo?si=2INmCqLTXSpA9RcZ",0wFWYIIzudo,"@BuyHatke  Download it from app store & play store rn!","UNIX TV",1147,11,2,18,success
"https://youtube.com/shorts/ds4qOVc1rgo?si=xYNUEKFi3bplYPtM",ds4qOVc1rgo,"February 20, 2026","Harman Sparks",995,19,0,42,success
"https://youtube.com/shorts/vzGk6P95Vfo?si=hBxbDHwYx5t0wuqr",vzGk6P95Vfo,"Download buyhatke app now. #hack #tricks #groceryshopping #blinkit","Sparsh Goel",1203,12,0,13,success
"https://youtube.com/shorts/hmqwI7Uu-PM?si=t9Esdt7xMLJN5zPs",hmqwI7Uu-PM,"Tricks","Creatorsingh ",996,0,0,49,success
